Filesystem      Size  Used Avail Use% Mounted on
udev            7,2G     0  7,2G   0% /dev
tmpfs           1,5G  2,2M  1,5G   1% /run
/dev/nvme0n1p2  468G  118G  327G  27% /
tmpfs           7,3G  268K  7,3G   1% /dev/shm
tmpfs           5,0M  4,0K  5,0M   1% /run/lock
tmpfs           7,3G     0  7,3G   0% /sys/fs/cgroup
/dev/loop0      128K  128K     0 100% /snap/bare/5
/dev/loop1      133M  133M     0 100% /snap/chromium/1895
/dev/loop2      117M  117M     0 100% /snap/drawio/143
/dev/loop3      190M  190M     0 100% /snap/postman/172
/dev/nvme0n1p1  511M  5,3M  506M   2% /boot/efi
/dev/loop4       56M   56M     0 100% /snap/core18/2253
/dev/loop6      324M  324M     0 100% /snap/kde-frameworks-5-qt-5-15-core20/14
/dev/loop5       55M   55M     0 100% /snap/snap-store/558
/dev/loop7      249M  249M     0 100% /snap/gnome-3-38-2004/99
/dev/loop8      529M  529M     0 100% /snap/pycharm-community/268
/dev/loop10     248M  248M     0 100% /snap/gnome-3-38-2004/87
/dev/loop11      62M   62M     0 100% /snap/core20/1328
/dev/loop12     117M  117M     0 100% /snap/drawio/142
/dev/loop13      66M   66M     0 100% /snap/gtk-common-themes/1519
/dev/loop14      66M   66M     0 100% /snap/gtk-common-themes/1515
/dev/loop15     219M  219M     0 100% /snap/gnome-3-34-1804/77
/dev/loop16     392M  392M     0 100% /snap/gimp/383
/dev/loop18     529M  529M     0 100% /snap/pycharm-community/267
/dev/loop19     165M  165M     0 100% /snap/gnome-3-28-1804/161
/dev/loop20      56M   56M     0 100% /snap/core18/2284
/dev/loop21     189M  189M     0 100% /snap/postman/171
/dev/loop22      62M   62M     0 100% /snap/core20/1270
/dev/loop23     219M  219M     0 100% /snap/gnome-3-34-1804/72
/dev/loop24     151M  151M     0 100% /snap/okular/109
/dev/loop25     135M  135M     0 100% /snap/chromium/1899
/dev/loop26      51M   51M     0 100% /snap/snap-store/547
tmpfs           1,5G  100K  1,5G   1% /run/user/1000
/dev/sda1       932G  493G  439G  53% /media/lion/A
/dev/loop27      44M   44M     0 100% /snap/snapd/14978
